MSOA Code,MSOA Name,Age - All Ages,Age - 0-15,Age - 16-29,Age - 30-44,Age - 45-64,Age - 65+,Age - Working-age,Households - All Households,Composition - Couple hh with dependent children,Composition - Couple hh without dependent children,Composition - Lone parent hh,Composition - One person hh,Composition - Other hh Types,White,Mixed/multiple ethnic groups,Asian/Asian British,Black/African/Caribbean/Black British,Other ethnic group,BAME,Country of Birth - United Kingdom,Country of Birth - Not United Kingdom,Language - 1+ English as a main language,Language - None have English as main language,Tenure - Owned outright,Tenure - Owned with a mortgage or loan,Tenure - Social rented,Tenure - Private rented,Household spaces with at least one usual resident,Household spaces with no usual residents,Detached,Semi-detached,Terraced (including end-terrace),"Flat, maisonette or apartment",Population Density - Persons per hectare (2012),Median - 2005,Median - 2006,Median - 2007,Median - 2008,Median - 2009,Median - 2010,Median - 2011,Median - 2012,Median - 2013 (p),Sales - 2005,Sales - 2006,Sales - 2007,Sales - 2008,Sales - 2009,Sales - 2010,Sales - 2011,Sales - 2011.1,Sales - 2013(p),Qualifications - No,Qualifications - Level 1,Qualifications - Level 2,Qualifications - Apprenticeship,Qualifications - Level 3,Qualifications - Level 4 and above,Qualifications - Other,Qualifications - Schoolchildren and full-time students: Age 18 and over,Economic Activity - Economically active: Total,Economic Activity - Economically active: Unemployed,Economic Activity - Economically inactive: Total,Economic Activity - Unemployment Rate,Adults in Employment - No adults in employment in hh: With dependent children,Total Mean hh Income,Total Median hh Income,Vehicles - No cars or vans in hh,Vehicles - 1 car or van in hh,Vehicles - 2 cars or vans in hh,Vehicles - 3 cars or vans in hh,Vehicles - 4 or more cars or vans in hh,Vehicles - Sum of all cars or vans in the area,Vehicles - Cars per hh,Borough,Subregion
E02000726,Newham 013,8892.0,1449.0,3345.0,2456.0,1201.0,441.0,7002.0,3666.0,422.0,578.0,403.0,1178.0,1085.0,3551.0,501.0,2579.0,1893.0,368.0,5341.0,3920.0,4972.0,2618.0,1048.0,243.0,478.0,1128.0,1640.0,3666.0,163.0,128.0,198.0,693.0,2794.0,27.24170393033655,210000.0,238500.0,247000.0,250000.0,237500.0,235000.0,233000.0,239975.0,249997.5,93.0,171.0,128.0,201.0,161.0,74.0,166.0,154.0,98.0,1011.0,645.0,644.0,63.0,839.0,3048.0,1193.0,1147.0,5466.0,464.0,1798.0,8.488840102451519,182.0,41396.640148148734,33016.37446911074,2242.0,1195.0,203.0,21.0,5.0,1685.0,0.4596290234588107,Newham,Inner East
E02000727,Newham 014,8305.0,1792.0,2740.0,2052.0,1270.0,451.0,6062.0,2251.0,504.0,264.0,224.0,410.0,849.0,801.0,210.0,6367.0,755.0,172.0,7504.0,3018.0,5287.0,1351.0,900.0,455.0,453.0,336.0,966.0,2251.0,42.0,232.0,244.0,919.0,897.0,216.01216113503926,196000.0,215000.0,221250.0,200000.0,175000.0,216000.0,215000.0,233000.0,235000.0,88.0,77.0,84.0,36.0,25.0,31.0,28.0,22.0,29.0,1261.0,704.0,645.0,29.0,591.0,2065.0,1218.0,1328.0,4043.0,387.0,2261.0,9.572099925797675,146.0,31376.47274300723,25043.41726397261,1212.0,811.0,184.0,39.0,5.0,1323.0,0.5877387827632163,Newham,Inner East
E02000728,Newham 015,8227.0,1913.0,2308.0,2102.0,1389.0,515.0,5799.0,2237.0,539.0,317.0,225.0,353.0,803.0,1199.0,213.0,5949.0,564.0,302.0,7028.0,2927.0,5300.0,1291.0,946.0,454.0,611.0,210.0,918.0,2237.0,37.0,256.0,288.0,1169.0,561.0,127.56253813300793,206750.0,220000.0,235000.0,235000.0,218000.0,229750.0,235000.0,221250.0,215500.0,96.0,115.0,116.0,53.0,31.0,48.0,35.0,34.0,40.0,1143.0,717.0,650.0,49.0,551.0,2024.0,1180.0,1009.0,3937.0,391.0,2159.0,9.931419862839725,159.0,32666.741352069366,26062.889510105877,985.0,923.0,280.0,37.0,12.0,1650.0,0.737594993294591,Newham,Inner East
E02000729,Newham 016,7080.0,1488.0,2055.0,1749.0,1284.0,504.0,5088.0,2207.0,389.0,308.0,285.0,537.0,688.0,2099.0,285.0,3124.0,1274.0,298.0,4981.0,3229.0,3851.0,1546.0,661.0,421.0,458.0,473.0,794.0,2207.0,40.0,142.0,334.0,809.0,962.0,101.84554230550823,220000.0,222500.0,237500.0,245000.0,205000.0,250000.0,249950.0,185610.0,267500.0,66.0,90.0,48.0,35.0,28.0,29.0,29.0,18.0,40.0,1150.0,582.0,640.0,55.0,590.0,1662.0,913.0,730.0,3649.0,342.0,1713.0,9.372430802959714,145.0,36593.886380732874,29190.914762919376,1065.0,864.0,209.0,58.0,11.0,1501.0,0.6801087449025827,Newham,Inner East
E02000730,Newham 017,8992.0,1801.0,2911.0,2068.0,1505.0,707.0,6484.0,2443.0,482.0,294.0,253.0,461.0,953.0,965.0,182.0,6666.0,974.0,205.0,8027.0,3401.0,5591.0,1538.0,905.0,563.0,510.0,353.0,978.0,2443.0,75.0,219.0,279.0,1092.0,924.0,181.14819229241158,210000.0,197000.0,225000.0,240000.0,240000.0,230000.0,240000.0,176500.0,227500.0,66.0,62.0,84.0,42.0,19.0,23.0,35.0,24.0,25.0,1520.0,781.0,733.0,44.0,635.0,2224.0,1254.0,1405.0,4305.0,453.0,2613.0,10.522648083623693,164.0,31122.38160375925,24843.33296205569,1230.0,888.0,263.0,46.0,16.0,1619.0,0.6627097830536226,Newham,Inner East
E02000731,Newham 018,10073.0,2184.0,3137.0,2529.0,1563.0,660.0,7229.0,2825.0,630.0,329.0,265.0,550.0,1051.0,1507.0,243.0,7109.0,879.0,335.0,8566.0,3548.0,6525.0,1721.0,1104.0,502.0,639.0,387.0,1253.0,2825.0,32.0,269.0,277.0,1403.0,904.0,177.2555096418733,202500.0,220000.0,236500.0,226250.0,189000.0,213000.0,220000.0,230000.0,230000.0,98.0,116.0,93.0,64.0,38.0,31.0,57.0,41.0,33.0,1450.0,831.0,770.0,49.0,691.0,2728.0,1370.0,1493.0,4895.0,434.0,2684.0,8.866189989785497,181.0,32146.935620987053,25650.118967738235,1554.0,997.0,220.0,46.0,8.0,1610.0,0.5699115044247788,Newham,Inner East
E02000732,Newham 019,7566.0,1923.0,2090.0,1750.0,1264.0,539.0,5104.0,2326.0,529.0,220.0,367.0,594.0,616.0,1278.0,300.0,4337.0,1308.0,343.0,6288.0,3373.0,4193.0,1498.0,828.0,282.0,370.0,905.0,706.0,2326.0,21.0,173.0,199.0,808.0,1166.0,173.62936112369732,190000.0,205000.0,216500.0,230000.0,190000.0,202500.0,212500.0,210000.0,222000.0,48.0,70.0,84.0,34.0,23.0,36.0,22.0,21.0,25.0,1390.0,696.0,590.0,54.0,533.0,1490.0,890.0,921.0,3323.0,415.0,2091.0,12.488715016551309,264.0,26996.146257055592,21594.12513318917,1337.0,801.0,159.0,22.0,7.0,1214.0,0.5219260533104041,Newham,Inner East
E02000733,Newham 020,9754.0,2219.0,2698.0,2385.0,1780.0,672.0,6863.0,3465.0,576.0,467.0,590.0,1009.0,823.0,3190.0,699.0,2747.0,2716.0,402.0,6564.0,4908.0,4846.0,2590.0,875.0,280.0,628.0,1568.0,907.0,3465.0,70.0,180.0,273.0,1167.0,1913.0,130.36486486486487,194997.5,201000.0,226000.0,210000.0,190000.0,206500.0,221500.0,228750.0,220000.0,90.0,85.0,118.0,45.0,39.0,50.0,48.0,56.0,55.0,1667.0,903.0,895.0,104.0,725.0,2126.0,1115.0,1027.0,4944.0,530.0,2311.0,10.720064724919094,332.0,31052.972145983822,24788.67642052287,1988.0,1237.0,197.0,38.0,5.0,1770.0,0.5108225108225108,Newham,Inner East
E02000734,Newham 021,7642.0,1832.0,2033.0,1897.0,1340.0,540.0,5270.0,2672.0,462.0,295.0,442.0,833.0,640.0,2359.0,467.0,2469.0,2131.0,216.0,5283.0,3751.0,3891.0,1972.0,700.0,250.0,337.0,1327.0,621.0,2672.0,42.0,123.0,177.0,756.0,1656.0,205.4416403785489,199995.0,217000.0,222500.0,193497.5,206500.0,238750.0,192500.0,240000.0,250000.0,65.0,56.0,73.0,28.0,24.0,28.0,24.0,29.0,23.0,1272.0,666.0,736.0,50.0,557.0,1682.0,847.0,821.0,3776.0,425.0,1805.0,11.255296610169491,232.0,30666.227928563716,24484.13432987015,1578.0,929.0,133.0,24.0,8.0,1332.0,0.49850299401197606,Newham,Inner East
E02000735,Newham 022,7582.0,1655.0,2198.0,1833.0,1243.0,653.0,5274.0,2355.0,452.0,251.0,302.0,612.0,738.0,1638.0,287.0,4128.0,1255.0,274.0,5944.0,3093.0,4489.0,1545.0,810.0,371.0,495.0,665.0,769.0,2355.0,43.0,197.0,249.0,1000.0,951.0,142.5237053245806,175000.0,196000.0,225000.0,196500.0,176500.0,208000.0,195000.0,222000.0,192000.0,101.0,93.0,98.0,44.0,31.0,45.0,31.0,35.0,41.0,1336.0,622.0,618.0,56.0,567.0,1683.0,1045.0,993.0,3634.0,363.0,1988.0,9.988992845349477,214.0,29569.910505938093,23620.838164428777,1393.0,758.0,174.0,24.0,6.0,1202.0,0.5104033970276008,Newham,Inner East
E02000736,Newham 023,8571.0,2356.0,2094.0,2075.0,1445.0,601.0,5614.0,2574.0,614.0,292.0,467.0,537.0,664.0,2123.0,378.0,3995.0,1727.0,348.0,6448.0,4194.0,4377.0,1769.0,805.0,308.0,688.0,780.0,750.0,2574.0,50.0,240.0,401.0,1158.0,825.0,69.97609561752988,190000.0,205000.0,224995.0,222500.0,175000.0,197500.0,208000.0,201000.0,210000.0,118.0,156.0,167.0,69.0,29.0,31.0,50.0,43.0,48.0,1464.0,915.0,767.0,66.0,589.0,1548.0,866.0,872.0,3755.0,443.0,2167.0,11.797603195739015,277.0,30496.62608804706,24350.581204152993,1220.0,1065.0,240.0,42.0,7.0,1702.0,0.6612276612276612,Newham,Inner East
E02000737,Newham 024,9434.0,2503.0,2161.0,2318.0,1702.0,750.0,6181.0,3068.0,712.0,400.0,484.0,750.0,722.0,2804.0,449.0,4160.0,1622.0,399.0,6630.0,4730.0,4704.0,2235.0,833.0,524.0,896.0,830.0,764.0,3068.0,35.0,217.0,309.0,1562.0,1015.0,113.76932223543402,197000.0,210000.0,225000.0,221000.0,183000.0,209995.0,195000.0,210000.0,208500.0,130.0,186.0,141.0,99.0,51.0,49.0,54.0,49.0,60.0,1529.0,860.0,873.0,120.0,655.0,1838.0,1056.0,855.0,4309.0,426.0,2269.0,9.88628452077048,278.0,32406.716281683806,25855.775950358526,1404.0,1312.0,295.0,47.0,10.0,2095.0,0.6828552803129074,Newham,Inner East
E02000738,Newham 025,8467.0,2165.0,2145.0,2113.0,1483.0,561.0,5741.0,2563.0,639.0,391.0,282.0,543.0,708.0,2295.0,365.0,4281.0,1188.0,338.0,6172.0,4003.0,4464.0,1801.0,762.0,517.0,889.0,271.0,840.0,2563.0,18.0,219.0,295.0,1603.0,461.0,188.33260774923815,200000.0,215000.0,229995.0,220000.0,190000.0,216000.0,223350.0,216000.0,226000.0,147.0,175.0,147.0,69.0,57.0,51.0,42.0,44.0,51.0,1279.0,760.0,733.0,80.0,561.0,1880.0,1009.0,933.0,4123.0,341.0,1950.0,8.270676691729323,174.0,37179.93420039775,29657.709945141592,1130.0,1090.0,294.0,40.0,9.0,1840.0,0.7179087007413187,Newham,Inner East
E02000739,Newham 026,6894.0,1535.0,1976.0,1706.0,1206.0,471.0,4888.0,2286.0,398.0,283.0,385.0,578.0,642.0,2163.0,350.0,2459.0,1653.0,269.0,4731.0,3158.0,3736.0,1626.0,660.0,263.0,461.0,801.0,670.0,2286.0,83.0,148.0,279.0,955.0,986.0,155.27128363475958,185000.0,202000.0,230000.0,220000.0,200000.0,216500.0,220000.0,202000.0,216500.0,85.0,87.0,108.0,41.0,29.0,36.0,23.0,33.0,38.0,1153.0,632.0,649.0,75.0,528.0,1473.0,849.0,729.0,3563.0,374.0,1594.0,10.496772382823464,198.0,30543.77431882316,24387.708121956483,1268.0,806.0,172.0,26.0,14.0,1294.0,0.5660542432195975,Newham,Inner East
E02000740,Newham 027,6779.0,1535.0,1845.0,1740.0,1275.0,384.0,4860.0,2556.0,392.0,314.0,487.0,819.0,544.0,2588.0,426.0,1524.0,2055.0,186.0,4191.0,3515.0,3264.0,1940.0,616.0,170.0,412.0,1289.0,637.0,2556.0,24.0,135.0,341.0,737.0,1366.0,53.27739075364155,187000.0,191250.0,205000.0,205000.0,173000.0,198000.0,215750.0,192250.0,200000.0,95.0,76.0,76.0,35.0,20.0,25.0,24.0,32.0,37.0,1169.0,642.0,643.0,61.0,514.0,1424.0,791.0,671.0,3523.0,458.0,1554.0,13.000283848992336,235.0,30039.91250229038,23990.94166987975,1422.0,958.0,147.0,20.0,9.0,1364.0,0.5336463223787168,Newham,Inner East
E02000741,Newham 028,8261.0,2114.0,2000.0,2027.0,1541.0,579.0,5568.0,2767.0,585.0,397.0,439.0,683.0,663.0,2773.0,366.0,2957.0,1851.0,314.0,5488.0,4136.0,4125.0,2010.0,757.0,448.0,825.0,625.0,816.0,2767.0,64.0,199.0,280.0,1559.0,792.0,111.01257445400398,180000.0,193000.0,220000.0,220000.0,175000.0,191000.0,195000.0,186250.0,210000.0,145.0,162.0,136.0,63.0,38.0,44.0,41.0,48.0,54.0,1367.0,804.0,736.0,88.0,580.0,1613.0,959.0,787.0,4013.0,435.0,1891.0,10.839770745078495,256.0,32000.8388077433,25535.074897422845,1404.0,1129.0,195.0,33.0,6.0,1642.0,0.5934224792193712,Newham,Inner East
E02000742,Newham 029,8005.0,2262.0,1846.0,1991.0,1329.0,577.0,5166.0,2498.0,604.0,288.0,422.0,540.0,644.0,2598.0,472.0,2759.0,1878.0,298.0,5407.0,4273.0,3732.0,1838.0,660.0,368.0,715.0,714.0,662.0,2498.0,73.0,219.0,326.0,1124.0,902.0,103.52718078381795,185000.0,195000.0,222000.0,212500.0,185000.0,204000.0,203000.0,207000.0,205000.0,141.0,167.0,159.0,67.0,51.0,62.0,55.0,37.0,57.0,1368.0,773.0,728.0,85.0,553.0,1414.0,822.0,655.0,3641.0,395.0,1788.0,10.848667948365835,254.0,31397.715240189933,25060.1446879684,1080.0,1097.0,257.0,48.0,16.0,1825.0,0.7305844675740593,Newham,Inner East
E02000743,Newham 030,7866.0,1858.0,1976.0,1841.0,1498.0,693.0,5315.0,2893.0,437.0,312.0,560.0,950.0,634.0,2992.0,436.0,1789.0,2462.0,187.0,4874.0,4045.0,3821.0,2209.0,684.0,240.0,441.0,1458.0,678.0,2893.0,38.0,133.0,227.0,712.0,1856.0,129.34141285281453,157500.0,174000.0,193000.0,200000.0,166500.0,188000.0,168500.0,220000.0,229500.0,70.0,83.0,95.0,66.0,14.0,25.0,30.0,77.0,68.0,1641.0,744.0,740.0,69.0,550.0,1316.0,948.0,728.0,3734.0,515.0,1966.0,13.79217996786288,297.0,27500.137864400727,21990.993789160784,1741.0,960.0,162.0,24.0,6.0,1387.0,0.479433114414103,Newham,Inner East
E02000744,Newham 031,8029.0,2006.0,1971.0,2047.0,1407.0,598.0,5425.0,2942.0,507.0,311.0,544.0,882.0,698.0,3577.0,410.0,1742.0,2015.0,285.0,4452.0,4260.0,3769.0,2225.0,717.0,305.0,526.0,884.0,1168.0,2942.0,43.0,214.0,365.0,1116.0,1287.0,138.38569518716577,169000.0,185000.0,220000.0,200000.0,161500.0,163000.0,167500.0,190000.0,183000.0,124.0,147.0,121.0,75.0,36.0,47.0,37.0,90.0,61.0,1564.0,787.0,721.0,78.0,537.0,1404.0,932.0,656.0,3878.0,445.0,1884.0,11.47498710675606,310.0,29926.01579809737,23901.25360513045,1644.0,1056.0,191.0,43.0,8.0,1599.0,0.5435078178110129,Newham,Inner East
E02000745,Newham 032,8141.0,1917.0,2122.0,2076.0,1608.0,418.0,5806.0,2782.0,523.0,402.0,535.0,710.0,612.0,3456.0,420.0,1883.0,2117.0,265.0,4685.0,4090.0,4051.0,2075.0,707.0,260.0,663.0,990.0,790.0,2782.0,53.0,247.0,644.0,975.0,969.0,112.9179331306991,187500.0,206000.0,220500.0,210000.0,195000.0,217000.0,218500.0,228000.0,225000.0,109.0,154.0,118.0,39.0,37.0,51.0,45.0,32.0,47.0,1374.0,731.0,777.0,69.0,635.0,1610.0,1028.0,649.0,4297.0,419.0,1767.0,9.750989062136375,215.0,34674.47827404769,27662.079697154186,1109.0,1255.0,329.0,71.0,18.0,2204.0,0.792235801581596,Newham,Inner East
E02000746,Newham 033,7382.0,1555.0,2480.0,1818.0,1193.0,336.0,5491.0,2574.0,432.0,374.0,475.0,809.0,484.0,3114.0,387.0,2010.0,1648.0,223.0,4268.0,3828.0,3554.0,1922.0,652.0,113.0,462.0,1161.0,721.0,2574.0,81.0,197.0,345.0,757.0,1355.0,18.17536386226482,200000.0,237200.0,245000.0,250000.0,250000.0,248000.0,250000.0,249000.0,235000.0,119.0,143.0,125.0,86.0,68.0,85.0,69.0,22.0,33.0,1142.0,694.0,692.0,64.0,750.0,1645.0,840.0,1044.0,3734.0,370.0,1931.0,9.908944831280127,218.0,36673.144585977265,29254.045018025216,1160.0,1120.0,254.0,29.0,11.0,1760.0,0.6837606837606838,Newham,Inner East
E02000747,Newham 034,10646.0,1933.0,3573.0,2834.0,1597.0,709.0,8004.0,4371.0,494.0,840.0,572.0,1461.0,1004.0,4921.0,634.0,2252.0,2377.0,462.0,5725.0,5448.0,5198.0,3330.0,1041.0,241.0,547.0,1613.0,1737.0,4371.0,181.0,139.0,277.0,786.0,3349.0,57.38759158715935,302497.5,248995.0,250000.0,286950.0,215000.0,260000.0,219000.0,223000.0,246500.0,280.0,335.0,283.0,450.0,80.0,140.0,45.0,73.0,129.0,1820.0,824.0,914.0,87.0,687.0,3293.0,1088.0,1011.0,6033.0,532.0,2368.0,8.818166749544174,286.0,39470.9221084613,31482.51345456329,2497.0,1567.0,260.0,38.0,9.0,2247.0,0.514070006863418,Newham,Inner East
